bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
relation/10925187-275,275,f,Substation,f,relation/10925187,-1.49612007,53.77727959,GB,POINT (-1.49612007 53.77727959)
relation/11036958-300,300,f,Substation,f,relation/11036958,6.67072995,59.48447803,NO,POINT (6.67072995 59.48447803)
relation/11036958-420,420,f,Substation,f,relation/11036958,6.67108467,59.48467757,NO,POINT (6.67108467 59.48467757)
relation/11038054-400,400,f,Substation,f,relation/11038054,21.19141155,48.62682883,SK,POINT (21.19141155 48.62682883)
relation/11051275-400,400,f,Substation,f,relation/11051275,-2.67046476,54.29765311,GB,POINT (-2.67046476 54.29765311)
relation/11097406-420,420,f,Substation,f,relation/11097406,11.7351254,58.83748987,SE,POINT (11.7351254 58.83748987)
relation/11334274-400,400,f,Substation,f,relation/11334274,12.26369106,57.9156257,SE,POINT (12.26369106 57.9156257)
relation/11372549-225,225,f,Substation,f,relation/11372549,3.06545759,50.62087834,FR,POINT (3.06545759 50.62087834)
relation/11512349-300,300,f,Substation,f,relation/11512349,5.98676228,59.84621228,NO,POINT (5.98676228 59.84621228)
relation/11543333-400,400,f,Substation,f,relation/11543333,-1.55463056,54.7053893,GB,POINT (-1.55463056 54.7053893)
relation/11568632-420,420,f,Substation,f,relation/11568632,9.47666329,59.1286197,NO,POINT (9.47666329 59.1286197)
relation/11964241-400,400,f,Substation,f,relation/11964241,12.21464576,58.29420101,SE,POINT (12.21464576 58.29420101)
relation/11971282-400,400,f,Substation,f,relation/11971282,16.45569141,62.41926279,SE,POINT (16.45569141 62.41926279)
relation/11980722-330,330,f,Substation,f,relation/11980722,25.46133514,57.52702555,LV,POINT (25.46133514 57.52702555)
relation/11981383,450,t,Substation,f,relation/11981383,6.8661568391267895,58.28250865848762,NO,POINT (6.8661568391267895 58.28250865848762)
relation/12048419-330,330,f,Substation,f,relation/12048419,23.99806953,54.9355423,LT,POINT (23.99806953 54.9355423)
relation/12274653-420,420,f,Substation,f,relation/12274653,6.60224008,59.56033427,NO,POINT (6.60224008 59.56033427)
relation/12277754-300,300,f,Substation,f,relation/12277754,8.97150096,60.70524497,NO,POINT (8.97150096 60.70524497)
relation/12543034-275,275,f,Substation,f,relation/12543034,-3.29931428,51.57443856,GB,POINT (-3.29931428 51.57443856)
relation/12606773-220,220,f,Substation,f,relation/12606773,16.66843374,62.94744562,SE,POINT (16.66843374 62.94744562)
relation/12832052-420,420,f,Substation,f,relation/12832052,6.65477856,59.5298075,NO,POINT (6.65477856 59.5298075)
relation/12832053,515,t,Substation,f,relation/12832053,6.654928160547617,59.53019486972904,NO,POINT (6.654928160547617 59.530194869729044)
relation/12969006-300,300,f,Substation,f,relation/12969006,5.55158955,59.27358607,NO,POINT (5.55158955 59.27358607)
relation/12970096-330,330,f,Substation,f,relation/12970096,24.26769619,56.85094827,LV,POINT (24.26769619 56.85094827)
relation/13020240-220,220,f,Substation,f,relation/13020240,12.47821447,41.8681401,IT,POINT (12.47821447 41.8681401)
relation/13110367-400,400,f,Substation,f,relation/13110367,-4.98948174,51.68238463,GB,POINT (-4.98948174 51.68238463)
relation/13260100-225,225,f,Substation,f,relation/13260100,0.14961434,49.47462362,FR,POINT (0.14961434 49.47462362)
relation/13260100-400,400,f,Substation,f,way/118244194,0.14986633,49.47483792,FR,POINT (0.14986633 49.47483792)
relation/13260224-225,225,f,Substation,f,relation/13260224,2.27935431,51.0122437,FR,POINT (2.27935431 51.0122437)
relation/13284562-300,300,f,Substation,f,relation/13284562,9.63384714,59.11710401,NO,POINT (9.63384714 59.11710401)
relation/13319688-220,220,f,Substation,f,relation/13319688,6.13990001,49.66853511,LU,POINT (6.13990001 49.66853511)
relation/13447791-420,420,f,Substation,f,relation/13447791,6.01662515,61.44605933,NO,POINT (6.01662515 61.44605933)
relation/13530288-330,330,f,Substation,f,relation/13530288,25.23978576,56.58917797,LV,POINT (25.23978576 56.58917797)
